long,points,PTS,pa,PA,ab,AB,singles,1B,doubles,2B,triples,3B,home_runs,HR,walks,BB,strikeouts,K,sb,SB,cs,CS,runs,R,rbi,RBI,hbp,HBP,outs,O
7759 -- mark canha -- OAK -- 1B/OF,1.48829,0.00000,1.00000,0.00000,0.89000,0.00000,0.14101,0.00000,0.04074,0.00000,0.00000,0.00000,0.02643,0.00000,0.07363,0.00000,0.26123,0.00000,0.01000,0.00000,0.01000,0.00000,0.10000,0.00000,0.10000,0.00000,0.01000,0.00000,0.42591,0.00000
5784 -- gerardo parra -- MIL -- OF,1.48480,0.00000,1.00000,0.00000,0.93000,0.00000,0.16776,0.00000,0.04511,0.00000,0.00000,0.00000,0.01720,0.00000,0.04695,0.00000,0.16551,0.00000,0.02000,0.00000,0.01000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.51154,0.00000
7564 -- jon singleton -- HOU -- 1B,1.48301,0.00000,1.00000,0.00000,0.83000,0.00000,0.10045,0.00000,0.03557,0.00000,0.00000,0.00000,0.02599,0.00000,0.15195,0.00000,0.26592,0.00000,0.01000,0.00000,0.01000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.30324,0.00000
6089 -- joey butler -- TB -- 1B/OF,1.48126,0.00000,1.00000,0.00000,0.87000,0.00000,0.12779,0.00000,0.04835,0.00000,0.01020,0.00000,0.01697,0.00000,0.10240,0.00000,0.26322,0.00000,0.01000,0.00000,0.01000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.36102,0.00000
3783 -- steve pearce -- BAL -- 2B/OF,1.48100,0.00000,1.00000,0.00000,0.90000,0.00000,0.12998,0.00000,0.05046,0.00000,0.00000,0.00000,0.02811,0.00000,0.06883,0.00000,0.26696,0.00000,0.01000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.43281,0.00000
6404 -- brandon guyer -- TB -- OF,1.48074,0.00000,1.00000,0.00000,0.89000,0.00000,0.13631,0.00000,0.04835,0.00000,0.00000,0.00000,0.01697,0.00000,0.06517,0.00000,0.18223,0.00000,0.03000,0.00000,0.01000,0.00000,0.09000,0.00000,0.09000,0.00000,0.02000,0.00000,0.45359,0.00000
3426 -- brandon moss -- CLE -- 1B/OF,1.47125,0.00000,1.00000,0.00000,0.88000,0.00000,0.10763,0.00000,0.03677,0.00000,0.00000,0.00000,0.03616,0.00000,0.09643,0.00000,0.29168,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.42182,0.00000
2491 -- garrett jones -- NYY -- 1B/OF,1.46674,0.00000,1.00000,0.00000,0.91000,0.00000,0.13003,0.00000,0.04646,0.00000,0.00000,0.00000,0.02549,0.00000,0.07473,0.00000,0.22282,0.00000,0.00000,0.00000,0.00000,0.00000,0.11000,0.00000,0.11000,0.00000,0.00000,0.00000,0.43237,0.00000
9052 -- preston tucker -- HOU -- OF,1.46474,0.00000,1.00000,0.00000,0.90000,0.00000,0.11719,0.00000,0.04446,0.00000,0.00000,0.00000,0.02599,0.00000,0.08547,0.00000,0.22793,0.00000,0.01000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.38122,0.00000
2361 -- travis ishikawa -- PIT -- 1B,1.46328,0.00000,1.00000,0.00000,0.90000,0.00000,0.14798,0.00000,0.04728,0.00000,0.00000,0.00000,0.01659,0.00000,0.07353,0.00000,0.20582,0.00000,0.00000,0.00000,0.00000,0.00000,0.11000,0.00000,0.12000,0.00000,0.00500,0.00000,0.43036,0.00000
4671 -- seth smith -- SEA -- OF,1.46009,0.00000,1.00000,0.00000,0.88000,0.00000,0.12173,0.00000,0.05210,0.00000,0.00816,0.00000,0.01718,0.00000,0.09367,0.00000,0.19223,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.40069,0.00000
3367 -- miguel montero -- CHC -- C,1.45906,0.00000,1.00000,0.00000,0.87000,0.00000,0.15809,0.00000,0.02912,0.00000,0.00000,0.00000,0.01766,0.00000,0.10130,0.00000,0.24734,0.00000,0.00000,0.00000,0.00000,0.00000,0.11000,0.00000,0.11000,0.00000,0.01000,0.00000,0.42408,0.00000
7186 -- jefry marte -- DET -- 1B/3B,1.45636,0.00000,1.00000,0.00000,0.93000,0.00000,0.14045,0.00000,0.03657,0.00000,0.00864,0.00000,0.01720,0.00000,0.04554,0.00000,0.19038,0.00000,0.02000,0.00000,0.01000,0.00000,0.11000,0.00000,0.10000,0.00000,0.01000,0.00000,0.50025,0.00000
2168 -- jonathan herrera -- CHC -- 2B/3B,1.45129,0.00000,1.00000,0.00000,0.92000,0.00000,0.18773,0.00000,0.01941,0.00000,0.01048,0.00000,0.00883,0.00000,0.06446,0.00000,0.16490,0.00000,0.02000,0.00000,0.01000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.53515,0.00000
7380 -- darin ruf -- PHI -- 1B/OF,1.44810,0.00000,1.00000,0.00000,0.89000,0.00000,0.12149,0.00000,0.05168,0.00000,0.00000,0.00000,0.02524,0.00000,0.07643,0.00000,0.26599,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.01000,0.00000,0.41604,0.00000
3820 -- cliff pennington -- ARI -- 2B/SS,1.43931,0.00000,1.00000,0.00000,0.90000,0.00000,0.15933,0.00000,0.03898,0.00000,0.00000,0.00000,0.00909,0.00000,0.08774,0.00000,0.17895,0.00000,0.02000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00000,0.00000,0.53339,0.00000
4016 -- ryan raburn -- CLE -- OF,1.43629,0.00000,1.00000,0.00000,0.91000,0.00000,0.13699,0.00000,0.04596,0.00000,0.00000,0.00000,0.02712,0.00000,0.07714,0.00000,0.25001,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.47455,0.00000
429 -- andres blanco -- PHI -- 3B/SS,1.43542,0.00000,1.00000,0.00000,0.93000,0.00000,0.14953,0.00000,0.06201,0.00000,0.01100,0.00000,0.00841,0.00000,0.05732,0.00000,0.12276,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.10000,0.00000,0.00500,0.00000,0.58854,0.00000
6088 -- eduardo escobar -- MIN -- OF/SS,1.43336,0.00000,1.00000,0.00000,0.94000,0.00000,0.15728,0.00000,0.05134,0.00000,0.01083,0.00000,0.00879,0.00000,0.04513,0.00000,0.19428,0.00000,0.01000,0.00000,0.01000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.45284,0.00000
6869 -- steve lombardozzi -- PIT -- 2B/OF,1.43324,0.00000,1.00000,0.00000,0.95000,0.00000,0.18498,0.00000,0.03782,0.00000,0.00909,0.00000,0.00829,0.00000,0.03676,0.00000,0.10739,0.00000,0.01000,0.00000,0.01000,0.00000,0.10000,0.00000,0.11000,0.00000,0.00500,0.00000,0.56729,0.00000
474 -- emilio bonifacio -- CWS -- 2B/OF,1.43106,0.00000,1.00000,0.00000,0.94000,0.00000,0.14297,0.00000,0.02927,0.00000,0.00952,0.00000,0.00881,0.00000,0.05577,0.00000,0.26112,0.00000,0.06000,0.00000,0.02000,0.00000,0.08000,0.00000,0.08000,0.00000,0.00000,0.00000,0.47908,0.00000
8587 -- kevin plawecki -- NYM -- C,1.42907,0.00000,1.00000,0.00000,0.90000,0.00000,0.14622,0.00000,0.04314,0.00000,0.00000,0.00000,0.02226,0.00000,0.06107,0.00000,0.14868,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.01500,0.00000,0.55637,0.00000
5781 -- shane robinson -- MIN -- OF,1.42496,0.00000,1.00000,0.00000,0.90000,0.00000,0.16653,0.00000,0.02567,0.00000,0.01083,0.00000,0.00879,0.00000,0.08123,0.00000,0.12952,0.00000,0.02000,0.00000,0.01000,0.00000,0.10000,0.00000,0.09000,0.00000,0.00000,0.00000,0.50945,0.00000
7751 -- danny muno -- NYM -- 3B,1.42473,0.00000,1.00000,0.00000,0.87000,0.00000,0.12794,0.00000,0.04314,0.00000,0.00000,0.00000,0.01113,0.00000,0.11196,0.00000,0.27612,0.00000,0.02000,0.00000,0.01000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.42243,0.00000
2439 -- dan johnson -- STL -- 1B,1.42010,0.00000,1.00000,0.00000,0.84000,0.00000,0.10817,0.00000,0.02792,0.00000,0.00000,0.00000,0.02700,0.00000,0.13798,0.00000,0.19119,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.45698,0.00000
7162 -- daniel robertson -- LAA -- OF,1.41488,0.00000,1.00000,0.00000,0.90000,0.00000,0.15890,0.00000,0.03711,0.00000,0.00000,0.00000,0.00940,0.00000,0.07430,0.00000,0.13880,0.00000,0.03000,0.00000,0.01000,0.00000,0.09000,0.00000,0.09000,0.00000,0.01000,0.00000,0.50005,0.00000
707 -- billy butler -- OAK -- 1B,1.41071,0.00000,1.00000,0.00000,0.92000,0.00000,0.15982,0.00000,0.05093,0.00000,0.00000,0.00000,0.01762,0.00000,0.05522,0.00000,0.19592,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.09000,0.00000,0.00500,0.00000,0.49525,0.00000
8313 -- derek dietrich -- MIA -- 3B,1.41005,0.00000,1.00000,0.00000,0.90000,0.00000,0.11508,0.00000,0.04325,0.00000,0.01119,0.00000,0.02362,0.00000,0.06144,0.00000,0.25845,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.02000,0.00000,0.51170,0.00000
9546 -- taylor featherston -- LAA -- 2B/3B,1.40468,0.00000,1.00000,0.00000,0.93000,0.00000,0.10593,0.00000,0.04639,0.00000,0.00000,0.00000,0.02821,0.00000,0.04644,0.00000,0.31725,0.00000,0.02000,0.00000,0.01000,0.00000,0.10000,0.00000,0.09000,0.00000,0.01000,0.00000,0.38683,0.00000
3511 -- dioner navarro -- TOR -- C,1.40397,0.00000,1.00000,0.00000,0.91000,0.00000,0.16130,0.00000,0.03742,0.00000,0.00000,0.00000,0.01694,0.00000,0.07681,0.00000,0.13556,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.52948,0.00000
5688 -- nolan reimold -- BAL -- OF,1.40269,0.00000,1.00000,0.00000,0.90000,0.00000,0.12070,0.00000,0.04037,0.00000,0.00000,0.00000,0.02811,0.00000,0.06883,0.00000,0.28921,0.00000,0.01000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.43281,0.00000
7131 -- shane peterson -- MIL -- 1B,1.39455,0.00000,1.00000,0.00000,0.90000,0.00000,0.15844,0.00000,0.03609,0.00000,0.00781,0.00000,0.00860,0.00000,0.07512,0.00000,0.30181,0.00000,0.01000,0.00000,0.00000,0.00000,0.09000,0.00000,0.10000,0.00000,0.00500,0.00000,0.35415,0.00000
1616 -- jeff francoeur -- PHI -- OF,1.39269,0.00000,1.00000,0.00000,0.94000,0.00000,0.13084,0.00000,0.05168,0.00000,0.01100,0.00000,0.01683,0.00000,0.04777,0.00000,0.21484,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.10000,0.00000,0.00500,0.00000,0.52766,0.00000
6667 -- matt den dekker -- WAS -- OF,1.39257,0.00000,1.00000,0.00000,0.91000,0.00000,0.13891,0.00000,0.05014,0.00000,0.00000,0.00000,0.01045,0.00000,0.06032,0.00000,0.23304,0.00000,0.03000,0.00000,0.01000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.43602,0.00000
6406 -- robinson chirinos -- TEX -- C,1.39022,0.00000,1.00000,0.00000,0.90000,0.00000,0.11487,0.00000,0.04421,0.00000,0.00000,0.00000,0.02420,0.00000,0.08126,0.00000,0.23189,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.01000,0.00000,0.45101,0.00000
8713 -- chris taylor -- SEA -- SS,1.38453,0.00000,1.00000,0.00000,0.90000,0.00000,0.14782,0.00000,0.03473,0.00000,0.00816,0.00000,0.00859,0.00000,0.06813,0.00000,0.23800,0.00000,0.03000,0.00000,0.02000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.38247,0.00000
6174 -- alex presley -- HOU -- OF,1.37965,0.00000,1.00000,0.00000,0.94000,0.00000,0.14231,0.00000,0.02668,0.00000,0.01889,0.00000,0.01733,0.00000,0.04748,0.00000,0.19944,0.00000,0.01000,0.00000,0.01000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.42454,0.00000
1770 -- conor gillaspie -- CWS -- 3B,1.36990,0.00000,1.00000,0.00000,0.93000,0.00000,0.13403,0.00000,0.04878,0.00000,0.00952,0.00000,0.01762,0.00000,0.05577,0.00000,0.18496,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00000,0.00000,0.51819,0.00000
4297 -- adam rosales -- TEX -- 1B/3B,1.36600,0.00000,1.00000,0.00000,0.90000,0.00000,0.15317,0.00000,0.02652,0.00000,0.00000,0.00000,0.01614,0.00000,0.08126,0.00000,0.24197,0.00000,0.02000,0.00000,0.02000,0.00000,0.10000,0.00000,0.09000,0.00000,0.00500,0.00000,0.44121,0.00000
4787 -- chris stewart -- PIT -- C,1.36017,0.00000,1.00000,0.00000,0.91000,0.00000,0.16648,0.00000,0.03782,0.00000,0.00000,0.00000,0.00829,0.00000,0.06434,0.00000,0.13423,0.00000,0.01000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.51839,0.00000
7877 -- roberto perez -- CLE -- C,1.35770,0.00000,1.00000,0.00000,0.86000,0.00000,0.12720,0.00000,0.03677,0.00000,0.00000,0.00000,0.01808,0.00000,0.11571,0.00000,0.31252,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.01000,0.00000,0.37964,0.00000
5990 -- dustin ackley -- SEA -- OF,1.35731,0.00000,1.00000,0.00000,0.92000,0.00000,0.13913,0.00000,0.03473,0.00000,0.00816,0.00000,0.01718,0.00000,0.05961,0.00000,0.15561,0.00000,0.01000,0.00000,0.01000,0.00000,0.10000,0.00000,0.09000,0.00000,0.00000,0.00000,0.47354,0.00000
6175 -- hank conger -- HOU -- C,1.35703,0.00000,1.00000,0.00000,0.87000,0.00000,0.10045,0.00000,0.03557,0.00000,0.00000,0.00000,0.02599,0.00000,0.11396,0.00000,0.22793,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.09000,0.00000,0.00500,0.00000,0.38122,0.00000
3418 -- michael morse -- MIA -- 1B/OF,1.35684,0.00000,1.00000,0.00000,0.92000,0.00000,0.14385,0.00000,0.04325,0.00000,0.00000,0.00000,0.02362,0.00000,0.06144,0.00000,0.32588,0.00000,0.00000,0.00000,0.00000,0.00000,0.08000,0.00000,0.09000,0.00000,0.00500,0.00000,0.45727,0.00000
721 -- asdrubal cabrera -- TB -- SS,1.35567,0.00000,1.00000,0.00000,0.91000,0.00000,0.11075,0.00000,0.04835,0.00000,0.01020,0.00000,0.01697,0.00000,0.06517,0.00000,0.21260,0.00000,0.01000,0.00000,0.01000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.45359,0.00000
3873 -- gregorio petit -- NYY -- 2B/3B,1.35223,0.00000,1.00000,0.00000,0.93000,0.00000,0.16718,0.00000,0.04646,0.00000,0.00000,0.00000,0.00850,0.00000,0.04671,0.00000,0.18568,0.00000,0.01000,0.00000,0.01000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.47080,0.00000
5057 -- luis valbuena -- HOU -- 2B/3B,1.35192,0.00000,1.00000,0.00000,0.87000,0.00000,0.09208,0.00000,0.03557,0.00000,0.00000,0.00000,0.02599,0.00000,0.11396,0.00000,0.21843,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.38122,0.00000
740 -- alberto callaspo -- LAD -- 2B/3B,1.34839,0.00000,1.00000,0.00000,0.89000,0.00000,0.16805,0.00000,0.02828,0.00000,0.00000,0.00000,0.00982,0.00000,0.08230,0.00000,0.10931,0.00000,0.00000,0.00000,0.00000,0.00000,0.11000,0.00000,0.11000,0.00000,0.00000,0.00000,0.59792,0.00000
6547 -- caleb joseph -- BAL -- C,1.34333,0.00000,1.00000,0.00000,0.91000,0.00000,0.12998,0.00000,0.04037,0.00000,0.00000,0.00000,0.02811,0.00000,0.06023,0.00000,0.28921,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.08000,0.00000,0.00500,0.00000,0.43281,0.00000
6570 -- tucker barnhart -- CIN -- C,1.33498,0.00000,1.00000,0.00000,0.92000,0.00000,0.13669,0.00000,0.04036,0.00000,0.00000,0.00000,0.01841,0.00000,0.06448,0.00000,0.20470,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.53565,0.00000
1943 -- franklin gutierrez -- SEA -- OF,1.33407,0.00000,1.00000,0.00000,0.94000,0.00000,0.14782,0.00000,0.03473,0.00000,0.00000,0.00000,0.01718,0.00000,0.04258,0.00000,0.19223,0.00000,0.02000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00000,0.00000,0.45533,0.00000
4336 -- carlos ruiz -- PHI -- C,1.33396,0.00000,1.00000,0.00000,0.88000,0.00000,0.14953,0.00000,0.05168,0.00000,0.00000,0.00000,0.00841,0.00000,0.07643,0.00000,0.13299,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.01500,0.00000,0.53781,0.00000
6343 -- alexi amarista -- SD -- SS,1.32837,0.00000,1.00000,0.00000,0.92000,0.00000,0.14991,0.00000,0.02524,0.00000,0.00893,0.00000,0.00916,0.00000,0.06471,0.00000,0.13064,0.00000,0.02000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00000,0.00000,0.54590,0.00000
5623 -- jose lobaton -- WAS -- C,1.32532,0.00000,1.00000,0.00000,0.90000,0.00000,0.13023,0.00000,0.04011,0.00000,0.00000,0.00000,0.02090,0.00000,0.07756,0.00000,0.22333,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.45540,0.00000
7622 -- james mccann -- DET -- C,1.32494,0.00000,1.00000,0.00000,0.95000,0.00000,0.15917,0.00000,0.04571,0.00000,0.00000,0.00000,0.00860,0.00000,0.03644,0.00000,0.18132,0.00000,0.01000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.51026,0.00000
7511 -- jake smolinski -- OAK -- OF,1.32282,0.00000,1.00000,0.00000,0.91000,0.00000,0.15041,0.00000,0.05093,0.00000,0.00000,0.00000,0.00881,0.00000,0.06443,0.00000,0.26123,0.00000,0.01000,0.00000,0.01000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.44572,0.00000
4841 -- kurt suzuki -- MIN -- C,1.31971,0.00000,1.00000,0.00000,0.91000,0.00000,0.16653,0.00000,0.04279,0.00000,0.00000,0.00000,0.00879,0.00000,0.05415,0.00000,0.09251,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.53775,0.00000
4499 -- skip schumaker -- CIN -- 2B/OF,1.31758,0.00000,1.00000,0.00000,0.91000,0.00000,0.16598,0.00000,0.05045,0.00000,0.00000,0.00000,0.00000,0.00000,0.07369,0.00000,0.18423,0.00000,0.01000,0.00000,0.01000,0.00000,0.09000,0.00000,0.10000,0.00000,0.00500,0.00000,0.53565,0.00000
253 -- clint barmes -- SD -- SS,1.30173,0.00000,1.00000,0.00000,0.93000,0.00000,0.15928,0.00000,0.03365,0.00000,0.00000,0.00000,0.01832,0.00000,0.04622,0.00000,0.21463,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.01000,0.00000,0.45817,0.00000
4709 -- geovany soto -- CWS -- C,1.29979,0.00000,1.00000,0.00000,0.91000,0.00000,0.10723,0.00000,0.03902,0.00000,0.00000,0.00000,0.02643,0.00000,0.07436,0.00000,0.31553,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.42042,0.00000
6859 -- john ryan murphy -- NYY -- C,1.29437,0.00000,1.00000,0.00000,0.93000,0.00000,0.15789,0.00000,0.04646,0.00000,0.00000,0.00000,0.00850,0.00000,0.04671,0.00000,0.22282,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.43237,0.00000
6611 -- j.b. shuck -- CWS -- OF,1.29338,0.00000,1.00000,0.00000,0.93000,0.00000,0.16977,0.00000,0.02927,0.00000,0.00952,0.00000,0.00000,0.00000,0.05577,0.00000,0.11968,0.00000,0.03000,0.00000,0.01000,0.00000,0.08000,0.00000,0.08000,0.00000,0.00000,0.00000,0.57686,0.00000
686 -- emmanuel burriss -- WAS -- 2B/SS,1.28461,0.00000,1.00000,0.00000,0.92000,0.00000,0.17364,0.00000,0.02006,0.00000,0.00000,0.00000,0.00000,0.00000,0.05170,0.00000,0.12623,0.00000,0.05000,0.00000,0.02000,0.00000,0.09000,0.00000,0.08000,0.00000,0.00500,0.00000,0.55229,0.00000
4682 -- travis snider -- BAL -- OF,1.27684,0.00000,1.00000,0.00000,0.91000,0.00000,0.12998,0.00000,0.04037,0.00000,0.00000,0.00000,0.01874,0.00000,0.06883,0.00000,0.28921,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00000,0.00000,0.43281,0.00000
6558 -- josh phegley -- OAK -- C,1.25816,0.00000,1.00000,0.00000,0.95000,0.00000,0.14101,0.00000,0.04074,0.00000,0.00000,0.00000,0.01762,0.00000,0.02761,0.00000,0.22858,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.09000,0.00000,0.01000,0.00000,0.51506,0.00000
5801 -- gordon beckham -- CWS -- 2B/3B,1.25812,0.00000,1.00000,0.00000,0.92000,0.00000,0.12510,0.00000,0.03902,0.00000,0.00000,0.00000,0.01762,0.00000,0.05577,0.00000,0.18496,0.00000,0.01000,0.00000,0.00000,0.00000,0.09000,0.00000,0.08000,0.00000,0.00500,0.00000,0.53775,0.00000
7648 -- carlos perez -- LAA -- C,1.25305,0.00000,1.00000,0.00000,0.95000,0.00000,0.14125,0.00000,0.03711,0.00000,0.00000,0.00000,0.01880,0.00000,0.02786,0.00000,0.20819,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.09000,0.00000,0.01000,0.00000,0.48118,0.00000
5581 -- hector gomez -- MIL -- 2B/SS,1.24984,0.00000,1.00000,0.00000,0.95000,0.00000,0.13980,0.00000,0.04511,0.00000,0.00781,0.00000,0.00860,0.00000,0.02817,0.00000,0.27260,0.00000,0.01000,0.00000,0.01000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.45252,0.00000
6620 -- martin maldonado -- MIL -- C,1.24825,0.00000,1.00000,0.00000,0.92000,0.00000,0.13980,0.00000,0.02707,0.00000,0.00000,0.00000,0.01720,0.00000,0.06573,0.00000,0.24339,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.09000,0.00000,0.00500,0.00000,0.46236,0.00000
6584 -- donovan solano -- MIA -- ,1.19116,0.00000,1.00000,0.00000,0.93000,0.00000,0.17262,0.00000,0.03244,0.00000,0.00000,0.00000,0.00787,0.00000,0.05120,0.00000,0.20227,0.00000,0.00000,0.00000,0.00000,0.00000,0.08000,0.00000,0.08000,0.00000,0.00500,0.00000,0.58792,0.00000
6674 -- ryan goins -- TOR -- 2B/SS,1.18947,0.00000,1.00000,0.00000,0.95000,0.00000,0.13441,0.00000,0.03742,0.00000,0.00971,0.00000,0.00847,0.00000,0.03840,0.00000,0.18398,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00000,0.00000,0.54946,0.00000
7658 -- sandy leon -- BOS -- C,1.18701,0.00000,1.00000,0.00000,0.91000,0.00000,0.14305,0.00000,0.02781,0.00000,0.00000,0.00000,0.00744,0.00000,0.06720,0.00000,0.23467,0.00000,0.00000,0.00000,0.00000,0.00000,0.11000,0.00000,0.09000,0.00000,0.00500,0.00000,0.43938,0.00000
4197 -- rene rivera -- TB -- C,1.18683,0.00000,1.00000,0.00000,0.93000,0.00000,0.11075,0.00000,0.04835,0.00000,0.00000,0.00000,0.01697,0.00000,0.04655,0.00000,0.28347,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.08000,0.00000,0.00500,0.00000,0.42582,0.00000
6592 -- pete kozma -- STL -- 2B/SS,1.17921,0.00000,1.00000,0.00000,0.90000,0.00000,0.13522,0.00000,0.03723,0.00000,0.00000,0.00000,0.00000,0.00000,0.08870,0.00000,0.23368,0.00000,0.01000,0.00000,0.00000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00000,0.00000,0.47643,0.00000
5548 -- tony cruz -- STL -- C,1.17303,0.00000,1.00000,0.00000,0.94000,0.00000,0.12620,0.00000,0.03723,0.00000,0.00000,0.00000,0.00900,0.00000,0.05913,0.00000,0.20182,0.00000,0.01000,0.00000,0.01000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.53477,0.00000
7015 -- ryan flaherty -- BAL -- 2B/SS,1.16411,0.00000,1.00000,0.00000,0.92000,0.00000,0.12070,0.00000,0.03028,0.00000,0.00000,0.00000,0.01874,0.00000,0.05162,0.00000,0.30033,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.08000,0.00000,0.01000,0.00000,0.44265,0.00000
5532 -- drew butera -- KC -- C,1.08518,0.00000,1.00000,0.00000,0.92000,0.00000,0.10933,0.00000,0.03713,0.00000,0.00000,0.00000,0.00870,0.00000,0.05727,0.00000,0.17235,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.08000,0.00000,0.00500,0.00000,0.53714,0.00000
6267 -- jesus sucre -- SEA -- C,1.06069,0.00000,1.00000,0.00000,0.96000,0.00000,0.14782,0.00000,0.02605,0.00000,0.00000,0.00000,0.00859,0.00000,0.02555,0.00000,0.14646,0.00000,0.00000,0.00000,0.00000,0.00000,0.09000,0.00000,0.08000,0.00000,0.00500,0.00000,0.53728,0.00000
3098 -- jeff mathis -- MIA -- C,0.99854,0.00000,1.00000,0.00000,0.93000,0.00000,0.11508,0.00000,0.03244,0.00000,0.00000,0.00000,0.00787,0.00000,0.05120,0.00000,0.35959,0.00000,0.00000,0.00000,0.00000,0.00000,0.08000,0.00000,0.07000,0.00000,0.00500,0.00000,0.48993,0.00000
