long,points,PTS,pa,PA,ab,AB,singles,1B,doubles,2B,triples,3B,home_runs,HR,walks,BB,strikeouts,K,sb,SB,cs,CS,runs,R,rbi,RBI,hbp,HBP,outs,O
7195 -- hernan perez -- MIL -- 3B/SS,4.17304,4.15800,3.74000,3.90300,3.55000,3.79500,0.61512,0.61100,0.11730,0.12200,0.01562,0.02000,0.01720,0.02000,0.12207,0.10800,0.85675,0.94400,0.06000,0.06700,0.03000,0.02000,0.25000,0.18100,0.22000,0.24100,0.01000,0.00000,1.81992,3.02200
6656 -- miguel rojas -- MIA -- 3B/SS,3.90465,4.25300,3.47000,3.75100,3.26000,3.57200,0.54662,0.59900,0.10812,0.12100,0.02238,0.02700,0.01574,0.01300,0.16384,0.17900,0.59557,0.62700,0.08000,0.08100,0.04000,0.04900,0.19000,0.17600,0.16000,0.24400,0.02000,0.00000,2.21013,2.81200
8013 -- austin hedges -- SD -- C,3.89769,4.47100,3.62000,3.83400,3.39000,3.68900,0.50593,0.52000,0.10937,0.11000,0.00893,0.00900,0.07327,0.08200,0.12943,0.14500,0.80253,0.84500,0.02000,0.02300,0.02000,0.02200,0.19000,0.27800,0.14000,0.27600,0.02500,0.00000,1.72545,2.96800
7875 -- carlos sanchez -- CWS -- 2B/SS,3.75401,3.59900,3.65000,3.76400,3.46000,3.67400,0.51826,0.51000,0.13657,0.15400,0.01905,0.02000,0.00881,0.01000,0.09295,0.09000,0.89218,0.93800,0.03000,0.02700,0.01000,0.01300,0.25000,0.17000,0.20000,0.20500,0.03000,0.00000,1.84790,2.98000
6868 -- eury perez -- ATL -- OF,1.96391,8.75100,1.00000,4.77100,0.92000,4.55000,0.23612,1.14100,0.02880,0.14900,0.00957,0.05300,0.00969,0.04000,0.04906,0.22100,0.15894,0.72800,0.08000,0.30100,0.02000,0.07400,0.11000,0.55000,0.12000,0.43000,0.01000,0.00000,0.49102,3.16700
5942 -- jarrod dyson -- KC -- OF,1.95248,0.00000,1.00000,0.00000,0.91000,0.00000,0.16399,0.00000,0.02785,0.00000,0.01769,0.00000,0.00870,0.00000,0.07636,0.00000,0.17235,0.00000,0.12000,0.00000,0.02000,0.00000,0.10000,0.00000,0.09000,0.00000,0.00000,0.00000,0.46040,0.00000
6295 -- ben paulsen -- COL -- 1B/OF,1.88453,0.00000,1.00000,0.00000,0.92000,0.00000,0.17826,0.00000,0.05126,0.00000,0.00842,0.00000,0.03265,0.00000,0.06478,0.00000,0.22630,0.00000,0.00000,0.00000,0.00000,0.00000,0.13000,0.00000,0.15000,0.00000,0.00500,0.00000,0.41118,0.00000
6448 -- yasmani grandal -- LAD -- C,1.87132,0.00000,1.00000,0.00000,0.85000,0.00000,0.12851,0.00000,0.03770,0.00000,0.00000,0.00000,0.04912,0.00000,0.12803,0.00000,0.19874,0.00000,0.00000,0.00000,0.00000,0.00000,0.13000,0.00000,0.14000,0.00000,0.00500,0.00000,0.44057,0.00000
6653 -- billy hamilton -- CIN -- OF,1.86790,0.00000,1.00000,0.00000,0.94000,0.00000,0.16598,0.00000,0.03027,0.00000,0.00950,0.00000,0.00921,0.00000,0.05527,0.00000,0.17399,0.00000,0.12000,0.00000,0.03000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00000,0.00000,0.56716,0.00000
430 -- gregor blanco -- SF -- OF,1.85197,0.00000,1.00000,0.00000,0.88000,0.00000,0.18134,0.00000,0.03930,0.00000,0.02125,0.00000,0.00775,0.00000,0.11198,0.00000,0.18116,0.00000,0.03000,0.00000,0.01000,0.00000,0.12000,0.00000,0.13000,0.00000,0.00500,0.00000,0.48589,0.00000
