long_id,points,PTS,innings,IP,singles,1B,doubles,2B,triples,3B,home_runs,HR,walks,BB,hbp,HBP,strikeouts,K,outs,O,earned_runs,ER,cg,CG,wins,W,hbp,HBP,nh,NH,cgso,CGSO
5759 -- brett anderson -- LAD -- P,15.41823,15.44650,5.90000,5.96467,4.48741,3.84200,1.09900,0.90100,0.08333,0.07400,0.54925,0.47500,1.62556,1.46800,0.00000,0.00000,4.60498,4.12600,13.44218,13.76800,2.29000,1.92500,0.04000,0.00000,0.53000,0.42000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8489 -- shane greene -- DET -- P,15.17669,14.37910,5.60000,5.77800,4.50420,3.74000,1.20280,1.03800,0.31571,0.23000,0.63800,0.56400,1.91707,1.65700,0.00000,0.00000,5.21168,4.41600,12.77622,12.91800,2.34000,2.34800,0.04000,0.00000,0.47000,0.39500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6237 -- wade miley -- BOS -- P,15.13960,14.24615,6.10000,6.23633,4.64625,4.08400,1.43962,1.26400,0.14000,0.12900,0.66835,0.59800,2.73254,2.38600,0.00000,0.00000,5.51533,4.70000,13.77151,14.00900,2.73000,2.75900,0.04000,0.00100,0.38000,0.35100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00100
6335 -- rubby de la rosa -- ARI -- P,15.07864,14.52655,5.80000,5.43900,3.21272,3.20100,1.28650,1.23900,0.05938,0.04500,0.73539,0.67600,1.82793,1.74100,0.00000,0.00000,4.95090,4.84600,11.81248,11.47100,2.71000,2.39100,0.04000,0.00000,0.43000,0.38000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8528 -- andrew heaney -- LAA -- P,14.34949,14.91975,5.00000,5.60033,3.89432,3.19200,0.93130,0.80500,0.10333,0.07000,0.63411,0.51700,1.47749,1.24100,0.00000,0.00000,4.67191,3.85700,11.93059,12.94400,2.06000,1.73200,0.04000,0.00000,0.50000,0.39100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2022 -- dan haren -- MIA -- P,14.31490,14.67875,5.90000,6.07100,3.90462,3.96600,1.13979,1.17000,0.09500,0.09300,0.57993,0.60000,1.20298,1.25600,0.00000,0.00000,4.06665,4.61500,12.92122,13.59800,2.32000,2.37000,0.04000,0.00000,0.40000,0.19500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
415 -- chad billingsley -- PHI -- P,13.81730,12.07535,6.00000,5.86167,4.79469,4.88000,1.39484,1.31500,0.33056,0.29700,0.45091,0.44100,1.97502,1.83600,0.00000,0.00000,4.31245,4.54500,12.96901,13.04000,2.32000,2.95500,0.04000,0.00000,0.40000,0.24200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5147 -- edinson volquez -- KC -- P,13.44936,14.03715,6.10000,6.07367,4.14011,3.80600,1.14939,1.06100,0.10312,0.09100,0.54926,0.47700,2.27449,2.12600,0.00000,0.00000,4.18709,3.91200,14.26398,14.30900,2.69000,2.17200,0.04000,0.00000,0.39000,0.35700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6567 -- nathan eovaldi -- NYY -- P,13.31351,11.45825,5.80000,5.78367,5.66517,4.64500,1.53075,1.24500,0.18375,0.16300,0.45714,0.37100,1.79118,1.36100,0.00000,0.00000,4.17015,3.25500,14.35358,14.09600,2.20000,2.51100,0.04000,0.00000,0.50000,0.40700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2873 -- kyle lohse -- MIL -- P,13.16465,13.32580,6.30000,6.04133,4.59323,4.47200,1.16078,1.07000,0.06944,0.06500,0.85527,0.71100,1.86432,1.79400,0.00000,0.00000,4.36774,4.44900,13.91052,13.67500,3.07000,2.72700,0.04800,0.00000,0.35000,0.28900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5559 -- felix doubront -- TOR -- P,12.22533,11.55965,5.20000,5.51300,4.31091,3.89000,1.24641,1.06700,0.12650,0.10700,0.51719,0.46100,1.43850,1.29600,0.00000,0.00000,3.75452,3.14800,12.77370,13.39100,2.23000,2.15800,0.04000,0.00000,0.49000,0.31700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9379 -- tim cooney -- STL -- P,11.91139,12.67995,5.00000,5.54167,3.97265,3.59500,1.24142,1.11700,0.12222,0.10800,0.51616,0.46400,1.80927,1.64400,0.00000,0.00000,3.90922,3.71500,11.81463,12.91000,2.17000,2.13100,0.04000,0.00000,0.42000,0.30000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7594 -- chad bettis -- COL -- P,11.68217,11.56585,5.60000,5.61167,4.85978,4.52600,1.36679,1.10800,0.15714,0.13400,0.66133,0.57300,1.85537,1.67300,0.00000,0.00000,4.04121,4.01300,12.75371,12.82200,2.70000,2.74300,0.04000,0.00000,0.41000,0.30200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- ARI bullpen -- ARI -- ,9.58936,9.51435,3.34000,3.36300,1.72228,1.73300,0.70850,0.72600,0.03563,0.03800,0.29961,0.26000,1.30707,1.22700,0.00000,0.00000,3.26910,3.43800,6.75090,6.65100,1.37000,1.26900,0.00000,0.00000,0.18000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- KC bullpen -- KC -- ,9.37264,8.70120,3.06000,3.16800,1.80989,1.72600,0.51561,0.47300,0.06187,0.07100,0.28074,0.26500,1.09551,1.06300,0.00000,0.00000,3.14291,3.00700,6.03709,6.49700,1.11000,1.14100,0.00000,0.00000,0.17000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- SD bullpen -- SD -- ,8.87616,6.91745,3.16000,2.90767,2.05153,1.81800,0.55238,0.45400,0.07692,0.09500,0.31556,0.29400,1.01431,0.92700,0.00000,0.00000,2.91629,2.52000,6.56371,6.20300,1.19000,1.25600,0.00000,0.00000,0.18000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- BAL bullpen -- BAL -- ,8.82789,8.71585,2.71000,2.95167,1.54447,1.48900,0.43876,0.45500,0.00000,0.00000,0.29726,0.30800,1.08391,1.09700,0.00000,0.00000,3.16452,3.14100,4.96548,5.71400,1.03000,1.09900,0.00000,0.00000,0.12000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- MIA bullpen -- MIA -- ,8.76710,7.88500,3.26000,3.20933,2.28538,2.23800,0.53521,0.46800,0.09500,0.08500,0.17507,0.18400,1.36702,1.25500,0.00000,0.00000,2.90335,2.89300,6.87665,6.73500,1.17000,1.29200,0.00000,0.00000,0.16000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- WAS bullpen -- WAS -- ,8.62402,6.10110,3.09000,2.59800,2.11282,1.83200,0.47566,0.39000,0.00000,0.00000,0.35380,0.26300,0.77594,0.60900,0.00000,0.00000,2.66123,2.10100,6.60877,5.69300,1.15000,1.04500,0.00000,0.00000,0.22000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- LAA bullpen -- LAA -- ,8.55701,8.70725,2.67000,3.20367,1.67068,1.62100,0.51870,0.50100,0.05167,0.03800,0.37089,0.39200,0.93251,0.94300,0.00000,0.00000,3.00809,3.03000,5.00191,6.58100,1.03000,1.23200,0.00000,0.00000,0.18000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- SF bullpen -- SF -- ,8.53251,9.51630,2.88000,3.40600,1.69894,1.82500,0.47460,0.46800,0.08250,0.07300,0.20953,0.22800,0.75533,0.79800,0.00000,0.00000,2.55253,2.98000,6.08747,7.23800,0.92000,1.03600,0.00000,0.00000,0.18000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- CHC bullpen -- CHC -- ,8.34905,8.15715,2.84000,2.98167,1.86180,1.79100,0.47184,0.42800,0.04211,0.02900,0.18500,0.15800,0.90896,0.84000,0.00000,0.00000,2.59044,2.60600,5.92956,6.33900,0.93000,0.90800,0.00000,0.00000,0.18000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
